Gender,Age,Senior Citizen,Married,Number of Dependents,Zip Code,Latitude,Longitude,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV
Female,79,Yes,No,0,94014,37.691561,-122.445202,47453,No,0,2,No offer,No,0.0,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.35,41.85,0.0,0,0.0,41.85,1,Churned,Yes,72,3278
Female,66,Yes,No,0,94590,38.104705,-122.247387,37218,No,0,37,No offer,Yes,3.3,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.55,3580.3,0.0,0,122.1,3702.4,2,Churned,Yes,81,4448
Female,76,Yes,No,0,95006,37.171727,-122.142961,10520,No,0,49,Offer B,Yes,44.88,Yes,Yes,Fiber Optic,15,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,90.85,4515.85,0.0,0,2199.1200000000003,6714.970000000001,2,Churned,Yes,70,5651
Female,76,Yes,Yes,0,95313,37.435664,-121.049056,1508,Yes,1,42,Offer B,Yes,2.9,No,Yes,Fiber Optic,21,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.15,3229.4,0.0,0,121.8,3351.2000000000003,1,Churned,Yes,94,2322
Female,78,Yes,Yes,0,95355,37.672906,-120.946594,47613,Yes,1,11,Offer D,Yes,1.28,Yes,Yes,Fiber Optic,14,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.55,1131.2,0.0,0,14.08,1145.28,3,Churned,Yes,71,3172
Male,69,Yes,No,0,96093,40.759401,-122.939337,3749,No,0,36,Offer C,Yes,23.33,Yes,Yes,Fiber Optic,23,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.85,3186.7,0.0,0,839.8799999999999,4026.58,1,Churned,Yes,92,5692
Female,66,Yes,No,0,90001,33.973616,-118.24902,54492,No,0,8,Offer E,Yes,5.21,No,Yes,Fiber Optic,8,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,94.45,742.95,0.0,0,41.68,784.63,1,Churned,Yes,83,3676
Female,66,Yes,Yes,0,90255,33.97803,-118.217141,78114,Yes,1,16,Offer D,Yes,9.93,Yes,Yes,Fiber Optic,27,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,85.35,1375.15,0.0,0,158.88,1534.0300000000002,2,Churned,Yes,66,5769
Female,80,Yes,No,0,90263,34.037037,-118.705803,11,No,0,2,Offer E,Yes,31.91,No,Yes,Cable,30,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.6,195.05,0.0,0,63.82,258.87,3,Churned,Yes,94,4322
Female,79,Yes,No,0,91501,34.188339,-118.300942,18112,No,0,1,No offer,No,0.0,No,Yes,Cable,26,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,36.45,36.45,0.0,0,0.0,36.45,3,Churned,Yes,96,5303
Female,66,Yes,No,0,92583,33.796568,-116.924723,21349,No,0,5,No offer,Yes,27.35,No,Yes,Fiber Optic,27,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,84.85,415.55,0.0,20,136.75,572.3,1,Churned,Yes,74,3305
Male,71,Yes,No,0,93204,35.916943,-120.129921,14697,No,0,22,No offer,Yes,46.11,Yes,Yes,Fiber Optic,27,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.5,1910.6,0.0,0,1014.42,2925.02,1,Churned,Yes,71,5014
Male,78,Yes,No,0,94061,37.461251,-122.235414,35737,No,0,20,Offer D,Yes,5.71,No,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,71.3,1389.2,0.0,0,114.2,1503.4,2,Churned,Yes,91,3684
Male,76,Yes,Yes,0,94063,37.499411,-122.196318,32368,Yes,1,21,Offer D,Yes,19.74,No,Yes,Fiber Optic,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.1,1474.75,0.0,0,414.54,1889.29,2,Churned,Yes,67,3853
Male,68,Yes,Yes,0,95017,37.114335,-122.237162,857,Yes,1,27,Offer C,No,0.0,No,Yes,DSL,25,No,No,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,36.5,1032.0,0.0,30,0.0,1062.0,1,Churned,Yes,93,4564
Female,78,Yes,No,0,95258,38.169605,-121.310964,4176,No,0,47,No offer,Yes,14.22,Yes,Yes,Fiber Optic,11,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,4504.55,0.0,0,668.34,5172.89,2,Churned,Yes,65,5214
Male,74,Yes,No,0,95407,38.394091,-122.739814,30876,No,0,43,No offer,Yes,39.12,No,Yes,Fiber Optic,6,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,89.55,3856.75,0.0,0,1682.16,5538.91,1,Churned,Yes,73,3802
Female,67,Yes,No,0,95542,40.057784,-123.679461,2423,No,0,2,No offer,Yes,12.52,No,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.65,142.35,0.0,0,25.04,167.39,1,Churned,Yes,74,2189
Male,76,Yes,Yes,0,96002,40.527834,-122.318749,30338,Yes,1,40,No offer,Yes,2.85,Yes,Yes,Fiber Optic,3,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,101.85,4086.3,0.0,0,114.0,4200.3,1,Churned,Yes,84,2837
Female,74,Yes,No,0,96074,39.884395,-122.587513,263,No,0,2,Offer E,Yes,39.63,No,Yes,Fiber Optic,23,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,79.75,159.4,0.0,10,79.26,248.66000000000005,3,Churned,Yes,77,4038
Male,74,Yes,No,0,92121,32.898613,-117.202937,4258,No,0,1,No offer,Yes,3.84,Yes,Yes,Fiber Optic,13,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.45,76.45,0.0,10,3.84,90.29,3,Churned,Yes,95,3763
Male,69,Yes,Yes,0,92121,32.898613,-117.202937,4258,No,0,6,Offer E,Yes,47.9,No,Yes,Fiber Optic,6,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,573.75,0.0,0,287.4,861.15,3,Churned,Yes,90,5750
Male,76,Yes,Yes,0,91331,34.255442,-118.421314,97318,Yes,1,4,No offer,Yes,28.11,Yes,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.95,308.7,0.0,0,112.44,421.14,2,Churned,Yes,69,3716
Male,73,Yes,No,0,91354,34.457005,-118.573726,17846,No,0,55,Offer B,Yes,8.93,Yes,Yes,Fiber Optic,21,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.8,5617.75,0.0,0,491.15,6108.9,2,Churned,Yes,69,5543
Female,80,Yes,No,0,91740,34.119363,-117.855059,25135,No,0,3,No offer,No,0.0,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.3,77.75,0.0,0,0.0,77.75,3,Churned,Yes,74,3542
Female,79,Yes,No,0,92078,33.119028,-117.166036,6760,No,0,13,No offer,Yes,4.45,Yes,Yes,Fiber Optic,25,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.0,1127.2,0.0,0,57.85,1185.05,2,Churned,Yes,91,3363
Female,72,Yes,Yes,0,90064,34.037251,-118.423573,24505,Yes,9,60,Offer B,Yes,48.9,No,Yes,Cable,16,Yes,Yes,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card,74.85,4456.35,0.0,0,2934.0,7390.35,3,Stayed,No,59,5153
Female,72,Yes,No,0,92078,33.119028,-117.166036,6760,No,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.86999999999999,4,Joined,No,50,4432
Male,74,Yes,No,0,92705,33.766004,-117.786763,44117,No,0,47,No offer,Yes,14.78,Yes,Yes,DSL,10,No,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,59.6,2754.0,0.0,0,694.66,3448.66,3,Stayed,No,33,3155
Female,74,Yes,Yes,0,93065,34.269449,-118.768471,64802,Yes,7,66,Offer A,Yes,25.51,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,No,Credit Card,104.6,6819.45,0.0,0,1683.66,8503.11,3,Stayed,No,27,5722
Female,72,Yes,No,0,93066,34.297628,-119.014627,2966,No,0,72,Offer A,Yes,44.81,Yes,Yes,Fiber Optic,14,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,111.65,7943.45,0.0,0,3226.32,11169.77,5,Stayed,No,75,5388
Male,66,Yes,No,0,93460,34.630356,-120.032564,5710,No,0,42,No offer,Yes,13.51,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,79.35,3344.1,0.0,0,567.42,3911.52,4,Stayed,No,79,2399
Female,69,Yes,Yes,0,93512,37.653947,-118.231443,340,Yes,8,72,Offer A,Yes,15.85,Yes,Yes,Fiber Optic,2,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,110.8,7882.25,0.0,0,1141.2,9023.45,5,Stayed,No,80,5933
Male,68,Yes,No,0,94970,37.921137,-122.657562,781,No,0,20,No offer,Yes,22.31,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Credit Card,54.0,1055.9,0.0,0,446.2,1502.1,4,Stayed,No,20,5090
Male,65,Yes,Yes,1,95206,37.902422,-121.440029,49657,Yes,8,11,No offer,Yes,28.64,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,75.2,775.3,0.0,0,315.04,1090.34,5,Stayed,No,28,5193
Female,78,Yes,Yes,0,95454,39.806141,-123.531098,2706,Yes,2,71,Offer A,Yes,12.26,No,Yes,Fiber Optic,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,99.4,7168.25,0.0,0,870.46,8038.71,3,Stayed,No,29,4964
Male,79,Yes,No,0,95682,38.598936,-120.963092,24738,No,0,29,Offer C,Yes,6.59,No,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,101.45,2948.6,0.0,60,191.11,3199.71,4,Stayed,No,76,5285
Male,69,Yes,No,0,95709,38.748316,-120.675512,4829,No,0,44,Offer B,Yes,47.06,No,Yes,Fiber Optic,3,No,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,73.85,3122.4,0.0,100,2070.6400000000003,5293.040000000001,5,Stayed,No,48,4374
Male,72,Yes,No,1,90029,34.089953,-118.294824,41713,No,0,7,No offer,Yes,41.14,No,Yes,DSL,17,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,45.75,344.2,29.0,0,287.98,603.1800000000001,4,Stayed,No,57,3779
Female,67,Yes,No,0,92227,33.03933,-115.191857,23394,No,0,28,No offer,Yes,12.72,Yes,Yes,Cable,23,No,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,64.45,1867.6,0.0,0,356.16,2223.76,4,Stayed,No,37,3820
Female,73,Yes,Yes,0,92782,33.738543,-117.785046,17494,Yes,3,70,Offer A,Yes,39.34,Yes,Yes,Fiber Optic,13,No,Yes,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104.45,7349.35,0.0,0,2753.8,10103.15,4,Stayed,No,27,5004
Male,78,Yes,No,0,92821,33.930199,-117.862898,34055,No,0,5,Offer E,Yes,17.13,No,Yes,Fiber Optic,9,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,71.45,371.6,0.0,0,85.64999999999999,457.25,4,Stayed,No,36,5171
Female,68,Yes,No,0,93063,34.296813,-118.685703,49027,No,0,7,Offer E,Yes,10.53,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,3,Stayed,No,34,5525
Female,70,Yes,Yes,0,93257,36.008958,-118.891593,65566,Yes,1,35,No offer,Yes,45.13,Yes,Yes,Fiber Optic,10,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,102.05,3452.55,0.0,0,1579.5500000000002,5032.1,5,Stayed,No,35,3199
Male,72,Yes,No,0,93551,34.613476,-118.256358,34045,No,0,1,Offer E,Yes,2.97,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,70.05,70.05,0.0,0,2.97,73.02,3,Joined,No,51,2469
Male,66,Yes,Yes,0,93631,36.478239,-119.52137,14088,Yes,10,57,No offer,Yes,46.62,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,90.65,5199.8,0.0,0,2657.34,7857.139999999999,4,Stayed,No,23,5636
Male,73,Yes,Yes,2,94546,37.708327,-122.083473,41698,Yes,1,28,No offer,Yes,4.71,Yes,Yes,DSL,21,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,51.0,1381.8,0.0,80,131.88,1593.6799999999998,3,Stayed,No,44,5195
Female,76,Yes,Yes,3,95231,37.873283,-121.292034,5094,Yes,8,65,Offer B,Yes,1.58,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,103.9,6767.1,0.0,0,102.7,6869.8,3,Stayed,No,75,5669
Male,78,Yes,No,0,95553,40.210895,-123.86,867,No,0,57,Offer B,Yes,28.44,No,Yes,DSL,24,No,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,53.5,3035.8,0.0,0,1621.0800000000002,4656.88,4,Stayed,No,58,5521
Male,73,Yes,No,0,95625,38.349195,-121.902943,171,No,0,67,No offer,Yes,14.69,Yes,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.1,1672.15,0.0,0,984.23,2656.38,3,Stayed,No,26,6388
Female,75,Yes,Yes,0,95642,38.336216,-120.76901,6202,Yes,7,25,No offer,Yes,38.59,No,Yes,Fiber Optic,24,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,69.3,1813.1,0.0,0,964.75,2777.85,4,Stayed,No,50,4442
Female,73,Yes,No,0,90212,34.062095,-118.401508,11355,No,0,11,No offer,Yes,2.81,Yes,Yes,DSL,3,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,55.6,580.8,15.2,0,30.91,596.5099999999999,4,Stayed,No,80,5014
Male,76,Yes,Yes,0,90745,33.822295,-118.26411,55486,Yes,6,65,No offer,Yes,28.68,No,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,70.95,4555.2,7.43,0,1864.2,6411.969999999999,3,Stayed,No,30,4871
Female,80,Yes,No,0,92065,33.044541,-116.833922,33104,No,0,30,No offer,Yes,41.93,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104.1,3121.1,0.0,0,1257.9,4379.0,4,Stayed,No,59,5655
Male,79,Yes,No,0,92082,33.25283,-116.986079,14575,No,0,71,Offer A,Yes,4.75,Yes,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.65,1766.75,0.0,0,337.25,2104.0,3,Stayed,No,73,4788
Female,65,Yes,No,0,92301,34.667815,-117.536183,18980,No,0,72,Offer A,Yes,26.87,Yes,Yes,Fiber Optic,20,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.1,7774.05,0.0,0,1934.64,9708.69,5,Stayed,No,71,4474
Female,70,Yes,Yes,0,92880,33.918043,-117.617809,16998,Yes,1,60,No offer,Yes,4.06,Yes,Yes,Fiber Optic,11,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,116.05,6925.9,0.0,0,243.6,7169.5,3,Stayed,No,77,4734
Male,79,Yes,Yes,0,93022,34.404544,-119.302118,6503,Yes,4,67,Offer A,Yes,7.2,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,94.65,6079.0,0.0,0,482.4,6561.4,4,Stayed,No,47,4228
Male,70,Yes,Yes,0,93428,35.591387,-121.032256,6526,Yes,1,72,Offer A,No,0.0,No,Yes,DSL,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,64.95,4546.0,0.0,30,0.0,4576.0,3,Stayed,No,78,4049
Male,72,Yes,Yes,0,93651,37.007238,-119.505661,1314,Yes,2,34,No offer,Yes,12.98,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,71.55,2427.35,0.0,0,441.32,2868.67,3,Stayed,No,72,3583
Female,78,Yes,No,0,93905,36.667794,-121.601306,58548,No,0,72,Offer A,Yes,14.94,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,117.35,8436.25,0.0,0,1075.68,9511.93,4,Stayed,No,71,4008
Female,80,Yes,No,0,94043,37.419725,-122.062947,27822,No,0,45,Offer B,Yes,18.46,Yes,Yes,Cable,3,Yes,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,70.05,3062.45,0.0,0,830.7,3893.15,3,Stayed,No,43,4223
Male,70,Yes,Yes,0,94559,38.232389,-122.324944,26894,Yes,5,4,No offer,Yes,6.03,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,70.2,280.35,30.75,0,24.12,273.72,5,Stayed,No,53,4444
Female,73,Yes,No,0,94801,37.945288,-122.383941,28450,No,0,71,Offer A,Yes,34.36,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,99.65,6951.15,3.33,0,2439.56,9387.38,4,Stayed,No,77,4241
Female,79,Yes,Yes,0,95316,37.524721,-120.757977,5513,Yes,2,54,Offer B,Yes,43.71,Yes,Yes,Fiber Optic,12,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,115.6,6431.05,0.0,0,2360.34,8791.39,3,Stayed,No,45,4337
Female,69,Yes,No,0,95673,38.688764,-121.457596,14010,No,0,56,No offer,Yes,46.67,Yes,Yes,Fiber Optic,18,Yes,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,96.85,5219.65,0.0,0,2613.52,7833.17,3,Stayed,No,57,5679
Female,80,Yes,Yes,1,95916,39.657228,-121.37778,1279,Yes,7,71,No offer,Yes,48.59,Yes,Yes,DSL,15,Yes,Yes,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,69.2,4982.5,0.0,0,3449.8900000000003,8432.39,4,Stayed,No,65,5546
Female,80,Yes,No,0,95937,38.931425,-121.946081,19,No,0,36,Offer C,Yes,41.57,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.9,2659.45,0.0,0,1496.52,4155.969999999999,3,Stayed,No,23,5041
Female,65,Yes,No,0,96047,40.524535,-122.647172,911,No,0,46,No offer,Yes,16.04,Yes,Yes,DSL,26,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,69.1,3255.35,0.0,0,737.8399999999999,3993.19,3,Stayed,No,30,3856
Male,77,Yes,Yes,0,96092,39.955164,-122.018567,439,Yes,7,72,No offer,Yes,5.51,No,Yes,Fiber Optic,2,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,84.8,6141.65,0.0,0,396.72,6538.37,4,Stayed,No,54,4240
Female,65,Yes,Yes,1,90014,34.043144,-118.251977,3524,Yes,4,68,No offer,No,0.0,No,Yes,DSL,23,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,53.0,3656.25,0.0,0,0.0,3656.25,4,Stayed,No,31,5583
